academic_year,term,start_date,end_date,num_weeks
2020–2021,Autumn,2020-09-04,2020-11-27,12
2020–2021,Spring,2020-01-08,2020-03-18,10
2020–2021,Summer,2020-04-22,2020-06-17,8
2021–2022,Autumn,2021-09-04,2021-11-27,12
2021–2022,Spring,2021-01-08,2021-03-19,10
2021–2022,Summer,2021-04-22,2021-06-17,8
2022–2023,Autumn,2022-09-04,2022-11-27,12
2022–2023,Spring,2022-01-08,2022-03-19,10
2022–2023,Summer,2022-04-22,2022-06-17,8
2023–2024,Autumn,2023-09-04,2023-11-27,12
2023–2024,Spring,2023-01-08,2023-03-19,10
2023–2024,Summer,2023-04-22,2023-06-17,8
2024–2025,Autumn,2024-09-04,2024-11-27,12
2024–2025,Spring,2024-01-08,2024-03-18,10
2024–2025,Summer,2024-04-22,2024-06-17,8
