week_id,academic_year_start,academic_year,week_index,week_monday
1,2019,2019–2020,1,2019-09-02
2,2019,2019–2020,2,2019-09-09
3,2019,2019–2020,3,2019-09-16
4,2019,2019–2020,4,2019-09-23
5,2019,2019–2020,5,2019-09-30
6,2019,2019–2020,6,2019-10-07
7,2019,2019–2020,7,2019-10-14
8,2019,2019–2020,8,2019-10-21
9,2019,2019–2020,9,2019-10-28
10,2019,2019–2020,10,2019-11-04
11,2019,2019–2020,11,2019-11-11
12,2019,2019–2020,12,2019-11-18
13,2019,2019–2020,13,2019-11-25
14,2019,2019–2020,14,2019-12-02
15,2019,2019–2020,15,2019-12-09
16,2019,2019–2020,16,2019-12-16
17,2019,2019–2020,17,2019-12-23
18,2019,2019–2020,18,2019-12-30
19,2019,2019–2020,19,2020-01-06
20,2019,2019–2020,20,2020-01-13
21,2019,2019–2020,21,2020-01-20
22,2019,2019–2020,22,2020-01-27
23,2019,2019–2020,23,2020-02-03
24,2019,2019–2020,24,2020-02-10
25,2019,2019–2020,25,2020-02-17
26,2019,2019–2020,26,2020-02-24
27,2019,2019–2020,27,2020-03-02
28,2019,2019–2020,28,2020-03-09
29,2019,2019–2020,29,2020-03-16
30,2019,2019–2020,30,2020-03-23
31,2019,2019–2020,31,2020-03-30
32,2019,2019–2020,32,2020-04-06
33,2019,2019–2020,33,2020-04-13
34,2019,2019–2020,34,2020-04-20
35,2019,2019–2020,35,2020-04-27
36,2019,2019–2020,36,2020-05-04
37,2019,2019–2020,37,2020-05-11
38,2019,2019–2020,38,2020-05-18
39,2019,2019–2020,39,2020-05-25
40,2020,2020–2021,1,2020-09-07
41,2020,2020–2021,2,2020-09-14
42,2020,2020–2021,3,2020-09-21
43,2020,2020–2021,4,2020-09-28
44,2020,2020–2021,5,2020-10-05
45,2020,2020–2021,6,2020-10-12
46,2020,2020–2021,7,2020-10-19
47,2020,2020–2021,8,2020-10-26
48,2020,2020–2021,9,2020-11-02
49,2020,2020–2021,10,2020-11-09
50,2020,2020–2021,11,2020-11-16
51,2020,2020–2021,12,2020-11-23
52,2020,2020–2021,13,2020-11-30
53,2020,2020–2021,14,2020-12-07
54,2020,2020–2021,15,2020-12-14
55,2020,2020–2021,16,2020-12-21
56,2020,2020–2021,17,2020-12-28
57,2020,2020–2021,18,2021-01-04
58,2020,2020–2021,19,2021-01-11
59,2020,2020–2021,20,2021-01-18
60,2020,2020–2021,21,2021-01-25
61,2020,2020–2021,22,2021-02-01
62,2020,2020–2021,23,2021-02-08
63,2020,2020–2021,24,2021-02-15
