week_id,academic_year,week_of_year,week_start
2019-2020-W01,2019-2020,1,2019-09-02
2019-2020-W02,2019-2020,2,2019-09-09
2019-2020-W03,2019-2020,3,2019-09-16
2019-2020-W04,2019-2020,4,2019-09-23
2019-2020-W05,2019-2020,5,2019-09-30
2019-2020-W06,2019-2020,6,2019-10-07
2019-2020-W07,2019-2020,7,2019-10-14
2019-2020-W08,2019-2020,8,2019-10-21
2019-2020-W09,2019-2020,9,2019-10-28
2019-2020-W10,2019-2020,10,2019-11-04
2019-2020-W11,2019-2020,11,2019-11-11
2019-2020-W12,2019-2020,12,2019-11-18
2019-2020-W13,2019-2020,13,2019-11-25
2019-2020-W14,2019-2020,14,2019-12-02
2019-2020-W15,2019-2020,15,2019-12-09
2019-2020-W16,2019-2020,16,2019-12-16
2019-2020-W17,2019-2020,17,2019-12-23
2019-2020-W18,2019-2020,18,2019-12-30
2019-2020-W19,2019-2020,19,2020-01-06
2019-2020-W20,2019-2020,20,2020-01-13
2019-2020-W21,2019-2020,21,2020-01-20
2019-2020-W22,2019-2020,22,2020-01-27
2019-2020-W23,2019-2020,23,2020-02-03
2019-2020-W24,2019-2020,24,2020-02-10
2019-2020-W25,2019-2020,25,2020-02-17
2019-2020-W26,2019-2020,26,2020-02-24
2019-2020-W27,2019-2020,27,2020-03-02
2019-2020-W28,2019-2020,28,2020-03-09
2019-2020-W29,2019-2020,29,2020-03-16
2019-2020-W30,2019-2020,30,2020-03-23
2019-2020-W31,2019-2020,31,2020-03-30
2019-2020-W32,2019-2020,32,2020-04-06
2019-2020-W33,2019-2020,33,2020-04-13
2019-2020-W34,2019-2020,34,2020-04-20
2019-2020-W35,2019-2020,35,2020-04-27
2019-2020-W36,2019-2020,36,2020-05-04
2019-2020-W37,2019-2020,37,2020-05-11
2019-2020-W38,2019-2020,38,2020-05-18
2019-2020-W39,2019-2020,39,2020-05-25
2020-2021-W01,2020-2021,1,2020-09-07
2020-2021-W02,2020-2021,2,2020-09-14
2020-2021-W03,2020-2021,3,2020-09-21
2020-2021-W04,2020-2021,4,2020-09-28
2020-2021-W05,2020-2021,5,2020-10-05
2020-2021-W06,2020-2021,6,2020-10-12
2020-2021-W07,2020-2021,7,2020-10-19
2020-2021-W08,2020-2021,8,2020-10-26
2020-2021-W09,2020-2021,9,2020-11-02
2020-2021-W10,2020-2021,10,2020-11-09
2020-2021-W11,2020-2021,11,2020-11-16
2020-2021-W12,2020-2021,12,2020-11-23
2020-2021-W13,2020-2021,13,2020-11-30
2020-2021-W14,2020-2021,14,2020-12-07
2020-2021-W15,2020-2021,15,2020-12-14
2020-2021-W16,2020-2021,16,2020-12-21
2020-2021-W17,2020-2021,17,2020-12-28
2020-2021-W18,2020-2021,18,2021-01-04
2020-2021-W19,2020-2021,19,2021-01-11
2020-2021-W20,2020-2021,20,2021-01-18
2020-2021-W21,2020-2021,21,2021-01-25
2020-2021-W22,2020-2021,22,2021-02-01
2020-2021-W23,2020-2021,23,2021-02-08
2020-2021-W24,2020-2021,24,2021-02-15
2020-2021-W25,2020-2021,25,2021-02-22
2020-2021-W26,2020-2021,26,2021-03-01
2020-2021-W27,2020-2021,27,2021-03-08
2020-2021-W28,2020-2021,28,2021-03-15
2020-2021-W29,2020-2021,29,2021-03-22
2020-2021-W30,2020-2021,30,2021-03-29
2020-2021-W31,2020-2021,31,2021-04-05
2020-2021-W32,2020-2021,32,2021-04-12
2020-2021-W33,2020-2021,33,2021-04-19
2020-2021-W34,2020-2021,34,2021-04-26
2020-2021-W35,2020-2021,35,2021-05-03
2020-2021-W36,2020-2021,36,2021-05-10
2020-2021-W37,2020-2021,37,2021-05-17
2020-2021-W38,2020-2021,38,2021-05-24
2020-2021-W39,2020-2021,39,2021-05-31
2021-2022-W01,2021-2022,1,2021-09-06
2021-2022-W02,2021-2022,2,2021-09-13
2021-2022-W03,2021-2022,3,2021-09-20
2021-2022-W04,2021-2022,4,2021-09-27
2021-2022-W05,2021-2022,5,2021-10-04
2021-2022-W06,2021-2022,6,2021-10-11
2021-2022-W07,2021-2022,7,2021-10-18
2021-2022-W08,2021-2022,8,2021-10-25
2021-2022-W09,2021-2022,9,2021-11-01
2021-2022-W10,2021-2022,10,2021-11-08
2021-2022-W11,2021-2022,11,2021-11-15
2021-2022-W12,2021-2022,12,2021-11-22
2021-2022-W13,2021-2022,13,2021-11-29
2021-2022-W14,2021-2022,14,2021-12-06
2021-2022-W15,2021-2022,15,2021-12-13
2021-2022-W16,2021-2022,16,2021-12-20
2021-2022-W17,2021-2022,17,2021-12-27
2021-2022-W18,2021-2022,18,2022-01-03
2021-2022-W19,2021-2022,19,2022-01-10
2021-2022-W20,2021-2022,20,2022-01-17
2021-2022-W21,2021-2022,21,2022-01-24
2021-2022-W22,2021-2022,22,2022-01-31
2021-2022-W23,2021-2022,23,2022-02-07
2021-2022-W24,2021-2022,24,2022-02-14
2021-2022-W25,2021-2022,25,2022-02-21
2021-2022-W26,2021-2022,26,2022-02-28
2021-2022-W27,2021-2022,27,2022-03-07
2021-2022-W28,2021-2022,28,2022-03-14
2021-2022-W29,2021-2022,29,2022-03-21
2021-2022-W30,2021-2022,30,2022-03-28
2021-2022-W31,2021-2022,31,2022-04-04
2021-2022-W32,2021-2022,32,2022-04-11
2021-2022-W33,2021-2022,33,2022-04-18
2021-2022-W34,2021-2022,34,2022-04-25
2021-2022-W35,2021-2022,35,2022-05-02
2021-2022-W36,2021-2022,36,2022-05-09
2021-2022-W37,2021-2022,37,2022-05-16
2021-2022-W38,2021-2022,38,2022-05-23
2021-2022-W39,2021-2022,39,2022-05-30
2022-2023-W01,2022-2023,1,2022-09-05
2022-2023-W02,2022-2023,2,2022-09-12
2022-2023-W03,2022-2023,3,2022-09-19
2022-2023-W04,2022-2023,4,2022-09-26
2022-2023-W05,2022-2023,5,2022-10-03
2022-2023-W06,2022-2023,6,2022-10-10
2022-2023-W07,2022-2023,7,2022-10-17
2022-2023-W08,2022-2023,8,2022-10-24
2022-2023-W09,2022-2023,9,2022-10-31
2022-2023-W10,2022-2023,10,2022-11-07
2022-2023-W11,2022-2023,11,2022-11-14
2022-2023-W12,2022-2023,12,2022-11-21
2022-2023-W13,2022-2023,13,2022-11-28
2022-2023-W14,2022-2023,14,2022-12-05
2022-2023-W15,2022-2023,15,2022-12-12
2022-2023-W16,2022-2023,16,2022-12-19
2022-2023-W17,2022-2023,17,2022-12-26
2022-2023-W18,2022-2023,18,2023-01-02
2022-2023-W19,2022-2023,19,2023-01-09
2022-2023-W20,2022-2023,20,2023-01-16
2022-2023-W21,2022-2023,21,2023-01-23
2022-2023-W22,2022-2023,22,2023-01-30
2022-2023-W23,2022-2023,23,2023-02-06
2022-2023-W24,2022-2023,24,2023-02-13
2022-2023-W25,2022-2023,25,2023-02-20
2022-2023-W26,2022-2023,26,2023-02-27
2022-2023-W27,2022-2023,27,2023-03-06
2022-2023-W28,2022-2023,28,2023-03-13
2022-2023-W29,2022-2023,29,2023-03-20
2022-2023-W30,2022-2023,30,2023-03-27
2022-2023-W31,2022-2023,31,2023-04-03
2022-2023-W32,2022-2023,32,2023-04-10
2022-2023-W33,2022-2023,33,2023-04-17
2022-2023-W34,2022-2023,34,2023-04-24
2022-2023-W35,2022-2023,35,2023-05-01
2022-2023-W36,2022-2023,36,2023-05-08
2022-2023-W37,2022-2023,37,2023-05-15
2022-2023-W38,2022-2023,38,2023-05-22
2022-2023-W39,2022-2023,39,2023-05-29
2023-2024-W01,2023-2024,1,2023-09-04
2023-2024-W02,2023-2024,2,2023-09-11
2023-2024-W03,2023-2024,3,2023-09-18
