academic_year,year_start,term,date,day_of_week
2019–2020,2019,Spring,2019-01-01,Tuesday
2019–2020,2019,Spring,2019-01-02,Wednesday
2019–2020,2019,Spring,2019-01-03,Thursday
2019–2020,2019,Spring,2019-01-04,Friday
2019–2020,2019,Spring,2019-01-07,Monday
2019–2020,2019,Spring,2019-01-08,Tuesday
2019–2020,2019,Spring,2019-01-09,Wednesday
2019–2020,2019,Spring,2019-01-10,Thursday
2019–2020,2019,Spring,2019-01-11,Friday
2019–2020,2019,Spring,2019-01-14,Monday
2019–2020,2019,Spring,2019-01-15,Tuesday
2019–2020,2019,Spring,2019-01-16,Wednesday
2019–2020,2019,Spring,2019-01-17,Thursday
2019–2020,2019,Spring,2019-01-18,Friday
2019–2020,2019,Spring,2019-01-21,Monday
2019–2020,2019,Spring,2019-01-22,Tuesday
2019–2020,2019,Spring,2019-01-23,Wednesday
2019–2020,2019,Spring,2019-01-24,Thursday
2019–2020,2019,Spring,2019-01-25,Friday
2019–2020,2019,Spring,2019-01-28,Monday
2019–2020,2019,Spring,2019-01-29,Tuesday
2019–2020,2019,Spring,2019-01-30,Wednesday
2019–2020,2019,Spring,2019-01-31,Thursday
2019–2020,2019,Spring,2019-02-01,Friday
2019–2020,2019,Spring,2019-02-04,Monday
2019–2020,2019,Spring,2019-02-05,Tuesday
2019–2020,2019,Spring,2019-02-06,Wednesday
2019–2020,2019,Spring,2019-02-07,Thursday
2019–2020,2019,Spring,2019-02-08,Friday
2019–2020,2019,Spring,2019-02-11,Monday
2019–2020,2019,Spring,2019-02-12,Tuesday
2019–2020,2019,Spring,2019-02-13,Wednesday
2019–2020,2019,Spring,2019-02-14,Thursday
2019–2020,2019,Spring,2019-02-15,Friday
2019–2020,2019,Spring,2019-02-18,Monday
2019–2020,2019,Spring,2019-02-19,Tuesday
2019–2020,2019,Spring,2019-02-20,Wednesday
2019–2020,2019,Spring,2019-02-21,Thursday
2019–2020,2019,Spring,2019-02-22,Friday
2019–2020,2019,Spring,2019-02-25,Monday
2019–2020,2019,Spring,2019-02-26,Tuesday
2019–2020,2019,Spring,2019-02-27,Wednesday
2019–2020,2019,Spring,2019-02-28,Thursday
2019–2020,2019,Spring,2019-03-01,Friday
2019–2020,2019,Spring,2019-03-04,Monday
2019–2020,2019,Spring,2019-03-05,Tuesday
2019–2020,2019,Spring,2019-03-06,Wednesday
2019–2020,2019,Spring,2019-03-07,Thursday
2019–2020,2019,Spring,2019-03-08,Friday
2019–2020,2019,Spring,2019-03-11,Monday
2019–2020,2019,Spring,2019-03-12,Tuesday
2019–2020,2019,Spring,2019-03-13,Wednesday
2019–2020,2019,Spring,2019-03-14,Thursday
2019–2020,2019,Spring,2019-03-15,Friday
2019–2020,2019,Spring,2019-03-18,Monday
2019–2020,2019,Spring,2019-03-19,Tuesday
2019–2020,2019,Spring,2019-03-20,Wednesday
2019–2020,2019,Spring,2019-03-21,Thursday
2019–2020,2019,Spring,2019-03-22,Friday
2019–2020,2019,Spring,2019-03-25,Monday
2019–2020,2019,Spring,2019-03-26,Tuesday
2019–2020,2019,Spring,2019-03-27,Wednesday
2019–2020,2019,Spring,2019-03-28,Thursday
2019–2020,2019,Spring,2019-03-29,Friday
2019–2020,2019,Summer,2019-04-01,Monday
2019–2020,2019,Summer,2019-04-02,Tuesday
2019–2020,2019,Summer,2019-04-03,Wednesday
2019–2020,2019,Summer,2019-04-04,Thursday
2019–2020,2019,Summer,2019-04-05,Friday
2019–2020,2019,Summer,2019-04-08,Monday
2019–2020,2019,Summer,2019-04-09,Tuesday
2019–2020,2019,Summer,2019-04-10,Wednesday
2019–2020,2019,Summer,2019-04-11,Thursday
2019–2020,2019,Summer,2019-04-12,Friday
2019–2020,2019,Summer,2019-04-15,Monday
2019–2020,2019,Summer,2019-04-16,Tuesday
2019–2020,2019,Summer,2019-04-17,Wednesday
2019–2020,2019,Summer,2019-04-18,Thursday
2019–2020,2019,Summer,2019-04-19,Friday
2019–2020,2019,Summer,2019-04-22,Monday
2019–2020,2019,Summer,2019-04-23,Tuesday
2019–2020,2019,Summer,2019-04-24,Wednesday
2019–2020,2019,Summer,2019-04-25,Thursday
