student_id,academic_year,year_start,cohort,sub_cohort,start_cohort,progression_cohort,status,gender,ethnicity_major,SEN_status,Any_SEND
1,2019–2020,2019,7,A,7A,8.0,active,Female,White,No SEN,False
2,2019–2020,2019,7,A,7A,8.0,active,Male,White,No SEN,False
3,2019–2020,2019,7,A,7A,8.0,active,Male,White,No SEN,False
4,2019–2020,2019,7,A,7A,8.0,active,Male,Black,No SEN,False
5,2019–2020,2019,7,A,7A,8.0,active,Female,White,No SEN,False
6,2019–2020,2019,7,A,7A,8.0,active,Female,Mixed,No SEN,False
7,2019–2020,2019,7,A,7A,8.0,active,Female,White,No SEN,False
8,2019–2020,2019,7,A,7A,8.0,active,Male,White,No SEN,False
9,2019–2020,2019,7,A,7A,8.0,active,Male,White,SEN Support,True
10,2019–2020,2019,7,A,7A,8.0,active,Male,White,No SEN,False
11,2019–2020,2019,7,A,7A,8.0,active,Female,Asian,No SEN,False
12,2019–2020,2019,7,A,7A,8.0,active,Male,White,No SEN,False
13,2019–2020,2019,7,A,7A,8.0,active,Male,Mixed,No SEN,False
14,2019–2020,2019,7,A,7A,8.0,active,Female,Asian,No SEN,False
15,2019–2020,2019,7,A,7A,8.0,active,Female,Black,No SEN,False
16,2019–2020,2019,7,B,7B,8.0,active,Female,White,No SEN,False
17,2019–2020,2019,7,B,7B,8.0,active,Female,White,No SEN,False
18,2019–2020,2019,7,B,7B,8.0,active,Male,White,No SEN,False
19,2019–2020,2019,7,B,7B,8.0,active,Female,Other,No SEN,False
20,2019–2020,2019,7,B,7B,8.0,active,Female,Black,SEN Support,True
21,2019–2020,2019,7,B,7B,8.0,active,Male,White,No SEN,False
22,2019–2020,2019,7,B,7B,8.0,active,Female,Asian,No SEN,False
23,2019–2020,2019,7,B,7B,8.0,active,Female,White,No SEN,False
24,2019–2020,2019,7,B,7B,8.0,active,Female,White,No SEN,False
25,2019–2020,2019,7,B,7B,8.0,active,Female,White,No SEN,False
26,2019–2020,2019,7,B,7B,8.0,active,Male,Asian,No SEN,False
27,2019–2020,2019,7,B,7B,8.0,active,Female,White,No SEN,False
28,2019–2020,2019,7,B,7B,8.0,active,Male,Asian,No SEN,False
29,2019–2020,2019,7,B,7B,8.0,active,Male,Asian,No SEN,False
30,2019–2020,2019,7,B,7B,8.0,active,Female,Mixed,No SEN,False
31,2019–2020,2019,7,C,7C,8.0,active,Male,White,No SEN,False
32,2019–2020,2019,7,C,7C,8.0,active,Female,White,No SEN,False
33,2019–2020,2019,7,C,7C,8.0,active,Female,White,No SEN,False
34,2019–2020,2019,7,C,7C,8.0,active,Male,White,No SEN,False
35,2019–2020,2019,7,C,7C,8.0,active,Male,White,SEN Support,True
36,2019–2020,2019,7,C,7C,8.0,active,Male,Black,No SEN,False
37,2019–2020,2019,7,C,7C,8.0,active,Female,White,SEN Support,True
38,2019–2020,2019,7,C,7C,8.0,active,Female,White,No SEN,False
39,2019–2020,2019,7,C,7C,8.0,active,Male,White,No SEN,False
40,2019–2020,2019,7,C,7C,8.0,active,Female,White,No SEN,False
41,2019–2020,2019,7,C,7C,8.0,active,Female,White,No SEN,False
42,2019–2020,2019,7,C,7C,8.0,active,Male,White,No SEN,False
43,2019–2020,2019,7,C,7C,8.0,active,Female,Black,SEN Support,True
44,2019–2020,2019,7,C,7C,8.0,active,Male,White,SEN Support,True
45,2019–2020,2019,7,C,7C,8.0,active,Female,Other,No SEN,False
46,2019–2020,2019,8,A,8A,9.0,active,Male,Asian,No SEN,False
47,2019–2020,2019,8,A,8A,9.0,active,Female,White,No SEN,False
48,2019–2020,2019,8,A,8A,9.0,active,Male,Black,No SEN,False
49,2019–2020,2019,8,A,8A,9.0,active,Male,White,SEN Support,True
50,2019–2020,2019,8,A,8A,9.0,active,Female,Asian,No SEN,False
51,2019–2020,2019,8,A,8A,9.0,active,Male,White,No SEN,False
52,2019–2020,2019,8,A,8A,9.0,active,Male,Black,SEN Support,True
53,2019–2020,2019,8,A,8A,9.0,active,Male,Asian,No SEN,False
54,2019–2020,2019,8,A,8A,9.0,active,Male,Asian,No SEN,False
55,2019–2020,2019,8,A,8A,9.0,active,Male,Asian,EHCP,True
56,2019–2020,2019,8,A,8A,9.0,active,Male,White,No SEN,False
57,2019–2020,2019,8,A,8A,9.0,active,Female,White,No SEN,False
58,2019–2020,2019,8,A,8A,9.0,active,Female,White,No SEN,False
59,2019–2020,2019,8,A,8A,9.0,active,Female,White,No SEN,False
60,2019–2020,2019,8,A,8A,9.0,active,Female,Mixed,No SEN,False
61,2019–2020,2019,8,B,8B,9.0,active,Female,White,No SEN,False
62,2019–2020,2019,8,B,8B,9.0,active,Female,Chinese,EHCP,True
63,2019–2020,2019,8,B,8B,9.0,active,Male,White,No SEN,False
64,2019–2020,2019,8,B,8B,9.0,active,Female,Asian,No SEN,False
65,2019–2020,2019,8,B,8B,9.0,active,Female,White,No SEN,False
66,2019–2020,2019,8,B,8B,9.0,active,Male,Asian,No SEN,False
67,2019–2020,2019,8,B,8B,9.0,active,Female,Black,No SEN,False
68,2019–2020,2019,8,B,8B,9.0,active,Male,White,No SEN,False
69,2019–2020,2019,8,B,8B,9.0,active,Female,White,No SEN,False
70,2019–2020,2019,8,B,8B,9.0,active,Other,Asian,No SEN,False
71,2019–2020,2019,8,B,8B,9.0,active,Male,White,No SEN,False
72,2019–2020,2019,8,B,8B,9.0,active,Female,White,No SEN,False
73,2019–2020,2019,8,B,8B,9.0,active,Female,White,No SEN,False
74,2019–2020,2019,8,B,8B,9.0,active,Male,White,No SEN,False
75,2019–2020,2019,8,B,8B,9.0,active,Male,White,No SEN,False
76,2019–2020,2019,8,C,8C,9.0,active,Male,White,No SEN,False
77,2019–2020,2019,8,C,8C,9.0,active,Male,White,No SEN,False
78,2019–2020,2019,8,C,8C,9.0,active,Female,White,No SEN,False
79,2019–2020,2019,8,C,8C,9.0,active,Female,Black,No SEN,False
80,2019–2020,2019,8,C,8C,9.0,active,Female,White,No SEN,False
81,2019–2020,2019,8,C,8C,9.0,active,Male,Black,No SEN,False
82,2019–2020,2019,8,C,8C,9.0,active,Male,White,No SEN,False
83,2019–2020,2019,8,C,8C,9.0,active,Female,White,No SEN,False
84,2019–2020,2019,8,C,8C,9.0,active,Female,White,No SEN,False
85,2019–2020,2019,8,C,8C,9.0,active,Female,White,No SEN,False
86,2019–2020,2019,8,C,8C,9.0,active,Female,White,No SEN,False
87,2019–2020,2019,8,C,8C,9.0,active,Male,White,No SEN,False
88,2019–2020,2019,8,C,8C,9.0,active,Male,White,No SEN,False
89,2019–2020,2019,8,C,8C,9.0,active,Male,White,No SEN,False
90,2019–2020,2019,8,C,8C,9.0,active,Female,Mixed,No SEN,False
91,2019–2020,2019,9,A,9A,10.0,active,Female,White,No SEN,False
92,2019–2020,2019,9,A,9A,10.0,active,Male,White,No SEN,False
93,2019–2020,2019,9,A,9A,10.0,active,Male,Asian,No SEN,False
94,2019–2020,2019,9,A,9A,10.0,active,Male,White,No SEN,False
95,2019–2020,2019,9,A,9A,10.0,active,Male,White,SEN Support,True
96,2019–2020,2019,9,A,9A,10.0,active,Male,Other,No SEN,False
97,2019–2020,2019,9,A,9A,10.0,active,Male,White,SEN Support,True
98,2019–2020,2019,9,A,9A,10.0,active,Female,Mixed,No SEN,False
99,2019–2020,2019,9,A,9A,10.0,active,Female,Other,No SEN,False
100,2019–2020,2019,9,A,9A,10.0,active,Female,White,No SEN,False
101,2019–2020,2019,9,A,9A,10.0,active,Female,White,SEN Support,True
102,2019–2020,2019,9,A,9A,10.0,active,Male,White,No SEN,False
103,2019–2020,2019,9,A,9A,10.0,active,Female,White,No SEN,False
104,2019–2020,2019,9,A,9A,10.0,active,Male,White,No SEN,False
105,2019–2020,2019,9,A,9A,10.0,active,Male,Mixed,No SEN,False
106,2019–2020,2019,9,B,9B,10.0,active,Female,White,No SEN,False
107,2019–2020,2019,9,B,9B,10.0,active,Female,White,No SEN,False
108,2019–2020,2019,9,B,9B,10.0,active,Male,Other,No SEN,False
109,2019–2020,2019,9,B,9B,10.0,active,Female,Asian,No SEN,False
110,2019–2020,2019,9,B,9B,10.0,active,Female,White,No SEN,False
111,2019–2020,2019,9,B,9B,10.0,active,Female,White,No SEN,False
112,2019–2020,2019,9,B,9B,10.0,active,Female,White,No SEN,False
113,2019–2020,2019,9,B,9B,10.0,active,Male,White,SEN Support,True
114,2019–2020,2019,9,B,9B,10.0,active,Male,White,No SEN,False
115,2019–2020,2019,9,B,9B,10.0,active,Male,White,No SEN,False
116,2019–2020,2019,9,B,9B,10.0,active,Male,Black,No SEN,False
117,2019–2020,2019,9,B,9B,10.0,active,Male,White,No SEN,False
118,2019–2020,2019,9,B,9B,10.0,active,Female,White,No SEN,False
119,2019–2020,2019,9,B,9B,10.0,active,Male,White,No SEN,False
120,2019–2020,2019,9,B,9B,10.0,active,Male,White,No SEN,False
121,2019–2020,2019,9,C,9C,10.0,active,Male,Asian,No SEN,False
122,2019–2020,2019,9,C,9C,10.0,active,Male,Asian,No SEN,False
123,2019–2020,2019,9,C,9C,10.0,active,Female,Asian,No SEN,False
124,2019–2020,2019,9,C,9C,10.0,active,Female,White,No SEN,False
125,2019–2020,2019,9,C,9C,10.0,active,Female,White,SEN Support,True
126,2019–2020,2019,9,C,9C,10.0,active,Female,White,No SEN,False
127,2019–2020,2019,9,C,9C,10.0,active,Male,White,No SEN,False
128,2019–2020,2019,9,C,9C,10.0,active,Male,White,No SEN,False
129,2019–2020,2019,9,C,9C,10.0,active,Female,Asian,No SEN,False
130,2019–2020,2019,9,C,9C,10.0,active,Male,White,No SEN,False
131,2019–2020,2019,9,C,9C,10.0,active,Female,White,No SEN,False
132,2019–2020,2019,9,C,9C,10.0,active,Female,White,No SEN,False
133,2019–2020,2019,9,C,9C,10.0,active,Female,White,No SEN,False
134,2019–2020,2019,9,C,9C,10.0,active,Female,White,No SEN,False
135,2019–2020,2019,9,C,9C,10.0,active,Male,Chinese,No SEN,False
136,2019–2020,2019,10,A,10A,11.0,active,Female,Asian,No SEN,False
137,2019–2020,2019,10,A,10A,11.0,active,Male,Black,No SEN,False
138,2019–2020,2019,10,A,10A,11.0,active,Male,White,No SEN,False
139,2019–2020,2019,10,A,10A,11.0,active,Female,White,No SEN,False
140,2019–2020,2019,10,A,10A,11.0,active,Male,White,No SEN,False
141,2019–2020,2019,10,A,10A,11.0,active,Male,White,No SEN,False
142,2019–2020,2019,10,A,10A,11.0,active,Female,Asian,No SEN,False
143,2019–2020,2019,10,A,10A,11.0,active,Male,White,No SEN,False
144,2019–2020,2019,10,A,10A,11.0,active,Female,White,No SEN,False
145,2019–2020,2019,10,A,10A,11.0,active,Female,White,No SEN,False
146,2019–2020,2019,10,A,10A,11.0,active,Female,White,SEN Support,True
147,2019–2020,2019,10,A,10A,11.0,active,Male,Asian,No SEN,False
148,2019–2020,2019,10,A,10A,11.0,active,Male,White,No SEN,False
149,2019–2020,2019,10,A,10A,11.0,active,Female,White,No SEN,False
150,2019–2020,2019,10,A,10A,11.0,active,Female,White,No SEN,False
151,2019–2020,2019,10,B,10B,11.0,active,Male,White,No SEN,False
152,2019–2020,2019,10,B,10B,11.0,active,Female,Asian,SEN Support,True
153,2019–2020,2019,10,B,10B,11.0,active,Female,Black,SEN Support,True
154,2019–2020,2019,10,B,10B,11.0,active,Female,Black,No SEN,False
155,2019–2020,2019,10,B,10B,11.0,active,Other,Asian,SEN Support,True
156,2019–2020,2019,10,B,10B,11.0,active,Female,White,EHCP,True
157,2019–2020,2019,10,B,10B,11.0,active,Male,Mixed,No SEN,False
158,2019–2020,2019,10,B,10B,11.0,active,Male,White,SEN Support,True
159,2019–2020,2019,10,B,10B,11.0,active,Female,White,No SEN,False
160,2019–2020,2019,10,B,10B,11.0,active,Male,Asian,No SEN,False
161,2019–2020,2019,10,B,10B,11.0,active,Female,White,No SEN,False
162,2019–2020,2019,10,B,10B,11.0,active,Male,Black,No SEN,False
163,2019–2020,2019,10,B,10B,11.0,active,Male,White,EHCP,True
164,2019–2020,2019,10,B,10B,11.0,active,Male,White,No SEN,False
165,2019–2020,2019,10,B,10B,11.0,active,Female,Mixed,No SEN,False
166,2019–2020,2019,10,C,10C,11.0,active,Male,Black,No SEN,False
167,2019–2020,2019,10,C,10C,11.0,active,Female,White,SEN Support,True
168,2019–2020,2019,10,C,10C,11.0,active,Female,White,EHCP,True
169,2019–2020,2019,10,C,10C,11.0,active,Female,White,No SEN,False
170,2019–2020,2019,10,C,10C,11.0,active,Male,White,No SEN,False
171,2019–2020,2019,10,C,10C,11.0,active,Male,White,No SEN,False
172,2019–2020,2019,10,C,10C,11.0,active,Female,Asian,No SEN,False
173,2019–2020,2019,10,C,10C,11.0,active,Male,White,No SEN,False
174,2019–2020,2019,10,C,10C,11.0,active,Female,Mixed,No SEN,False
175,2019–2020,2019,10,C,10C,11.0,active,Male,White,No SEN,False
176,2019–2020,2019,10,C,10C,11.0,active,Female,White,No SEN,False
