student_id,year,grade,cohort,gender
S000001,2020,7,7A_2020,Male
S000002,2020,7,7A_2020,Female
S000003,2020,7,7A_2020,Male
S000004,2020,7,7A_2020,Male
S000005,2020,7,7A_2020,Male
S000006,2020,7,7A_2020,Female
S000007,2020,7,7A_2020,Male
S000008,2020,7,7A_2020,Male
S000009,2020,7,7A_2020,Male
S000010,2020,7,7A_2020,Female
S000011,2020,7,7A_2020,Male
S000012,2020,7,7A_2020,Male
S000013,2020,7,7A_2020,Male
S000014,2020,7,7A_2020,Male
S000015,2020,7,7A_2020,Female
S000016,2020,7,7A_2020,Male
S000017,2020,7,7A_2020,Female
S000018,2020,7,7A_2020,Female
S000019,2020,7,7A_2020,Female
S000020,2020,7,7A_2020,Male
S000021,2020,7,7A_2020,Female
S000022,2020,7,7A_2020,Male
S000023,2020,7,7A_2020,Female
S000024,2020,7,7A_2020,Female
S000025,2020,7,7A_2020,Female
S000026,2020,7,7B_2020,Female
S000027,2020,7,7B_2020,Female
S000028,2020,7,7B_2020,Female
S000029,2020,7,7B_2020,Female
S000030,2020,7,7B_2020,Female
S000031,2020,7,7B_2020,Male
S000032,2020,7,7B_2020,Male
S000033,2020,7,7B_2020,Female
S000034,2020,7,7B_2020,Female
S000035,2020,7,7B_2020,Female
S000036,2020,7,7B_2020,Male
S000037,2020,7,7B_2020,Female
S000038,2020,7,7B_2020,Male
S000039,2020,7,7B_2020,Male
S000040,2020,7,7B_2020,Male
S000041,2020,7,7B_2020,Male
S000042,2020,7,7B_2020,Male
S000043,2020,7,7B_2020,Female
S000044,2020,7,7B_2020,Female
S000045,2020,7,7B_2020,Female
S000046,2020,7,7B_2020,Female
S000047,2020,7,7B_2020,Female
S000048,2020,7,7B_2020,Male
S000049,2020,7,7B_2020,Female
S000050,2020,7,7B_2020,Female
S000051,2020,7,7C_2020,Male
S000052,2020,7,7C_2020,Female
S000053,2020,7,7C_2020,Male
S000054,2020,7,7C_2020,Female
S000055,2020,7,7C_2020,Male
S000056,2020,7,7C_2020,Female
S000057,2020,7,7C_2020,Female
S000058,2020,7,7C_2020,Male
S000059,2020,7,7C_2020,Male
S000060,2020,7,7C_2020,Male
S000061,2020,7,7C_2020,Male
S000062,2020,7,7C_2020,Male
S000063,2020,7,7C_2020,Male
S000064,2020,7,7C_2020,Male
S000065,2020,7,7C_2020,Male
S000066,2020,7,7C_2020,Female
S000067,2020,7,7C_2020,Female
S000068,2020,7,7C_2020,Male
S000069,2020,7,7C_2020,Female
S000070,2020,7,7C_2020,Female
S000071,2020,7,7C_2020,Female
S000072,2020,7,7C_2020,Female
S000073,2020,7,7C_2020,Male
S000074,2020,7,7C_2020,Female
S000075,2020,7,7C_2020,Male
S000076,2020,7,7D_2020,Female
S000077,2020,7,7D_2020,Female
S000078,2020,7,7D_2020,Female
S000079,2020,7,7D_2020,Male
S000080,2020,7,7D_2020,Female
S000081,2020,7,7D_2020,Male
S000082,2020,7,7D_2020,Female
S000083,2020,7,7D_2020,Male
S000084,2020,7,7D_2020,Female
S000085,2020,7,7D_2020,Male
S000086,2020,7,7D_2020,Male
S000087,2020,7,7D_2020,Female
S000088,2020,7,7D_2020,Male
S000089,2020,7,7D_2020,Female
S000090,2020,7,7D_2020,Female
S000091,2020,7,7D_2020,Female
S000092,2020,7,7D_2020,Female
S000093,2020,7,7D_2020,Female
S000094,2020,7,7D_2020,Female
S000095,2020,7,7D_2020,Female
S000096,2020,7,7D_2020,Female
S000097,2020,7,7D_2020,Female
S000098,2020,7,7D_2020,Female
S000099,2020,7,7D_2020,Female
S000100,2020,7,7D_2020,Male
S000101,2020,7,7E_2020,Male
S000102,2020,7,7E_2020,Female
S000103,2020,7,7E_2020,Female
S000104,2020,7,7E_2020,Female
S000105,2020,7,7E_2020,Female
S000106,2020,7,7E_2020,Female
S000107,2020,7,7E_2020,Female
S000108,2020,7,7E_2020,Female
S000109,2020,7,7E_2020,Female
S000110,2020,7,7E_2020,Male
S000111,2020,7,7E_2020,Female
S000112,2020,7,7E_2020,Male
S000113,2020,7,7E_2020,Female
S000114,2020,7,7E_2020,Female
S000115,2020,7,7E_2020,Male
S000116,2020,7,7E_2020,Female
S000117,2020,7,7E_2020,Male
S000118,2020,7,7E_2020,Female
S000119,2020,7,7E_2020,Female
S000120,2020,7,7E_2020,Male
S000121,2020,7,7E_2020,Female
S000122,2020,7,7E_2020,Male
S000123,2020,7,7E_2020,Female
S000124,2020,7,7E_2020,Male
S000125,2020,7,7E_2020,Male
S000126,2020,8,8A_2020,Female
S000127,2020,8,8A_2020,Female
S000128,2020,8,8A_2020,Male
S000129,2020,8,8A_2020,Female
S000130,2020,8,8A_2020,Female
S000131,2020,8,8A_2020,Female
S000132,2020,8,8A_2020,Male
S000133,2020,8,8A_2020,Male
S000134,2020,8,8A_2020,Male
S000135,2020,8,8A_2020,Male
S000136,2020,8,8A_2020,Male
S000137,2020,8,8A_2020,Male
S000138,2020,8,8A_2020,Male
S000139,2020,8,8A_2020,Male
S000140,2020,8,8A_2020,Male
S000141,2020,8,8A_2020,Female
S000142,2020,8,8A_2020,Male
S000143,2020,8,8A_2020,Female
S000144,2020,8,8A_2020,Female
S000145,2020,8,8A_2020,Female
S000146,2020,8,8A_2020,Male
S000147,2020,8,8A_2020,Male
S000148,2020,8,8A_2020,Male
S000149,2020,8,8A_2020,Male
S000150,2020,8,8A_2020,Female
S000151,2020,8,8B_2020,Male
S000152,2020,8,8B_2020,Male
S000153,2020,8,8B_2020,Male
S000154,2020,8,8B_2020,Male
S000155,2020,8,8B_2020,Male
S000156,2020,8,8B_2020,Female
S000157,2020,8,8B_2020,Male
S000158,2020,8,8B_2020,Female
S000159,2020,8,8B_2020,Male
S000160,2020,8,8B_2020,Female
S000161,2020,8,8B_2020,Male
S000162,2020,8,8B_2020,Male
S000163,2020,8,8B_2020,Female
S000164,2020,8,8B_2020,Female
S000165,2020,8,8B_2020,Female
S000166,2020,8,8B_2020,Male
S000167,2020,8,8B_2020,Female
S000168,2020,8,8B_2020,Male
S000169,2020,8,8B_2020,Male
S000170,2020,8,8B_2020,Female
S000171,2020,8,8B_2020,Female
S000172,2020,8,8B_2020,Male
S000173,2020,8,8B_2020,Male
S000174,2020,8,8B_2020,Female
S000175,2020,8,8B_2020,Female
S000176,2020,8,8C_2020,Female
S000177,2020,8,8C_2020,Male
S000178,2020,8,8C_2020,Male
S000179,2020,8,8C_2020,Male
S000180,2020,8,8C_2020,Male
S000181,2020,8,8C_2020,Male
S000182,2020,8,8C_2020,Male
S000183,2020,8,8C_2020,Female
S000184,2020,8,8C_2020,Male
S000185,2020,8,8C_2020,Male
S000186,2020,8,8C_2020,Male
S000187,2020,8,8C_2020,Female
S000188,2020,8,8C_2020,Male
S000189,2020,8,8C_2020,Male
S000190,2020,8,8C_2020,Female
S000191,2020,8,8C_2020,Male
S000192,2020,8,8C_2020,Male
S000193,2020,8,8C_2020,Male
S000194,2020,8,8C_2020,Male
S000195,2020,8,8C_2020,Male
S000196,2020,8,8C_2020,Female
S000197,2020,8,8C_2020,Female
S000198,2020,8,8C_2020,Female
S000199,2020,8,8C_2020,Male
S000200,2020,8,8C_2020,Male
S000201,2020,8,8D_2020,Male
S000202,2020,8,8D_2020,Female
S000203,2020,8,8D_2020,Male
S000204,2020,8,8D_2020,Male
S000205,2020,8,8D_2020,Female
S000206,2020,8,8D_2020,Male
S000207,2020,8,8D_2020,Female
S000208,2020,8,8D_2020,Female
S000209,2020,8,8D_2020,Female
S000210,2020,8,8D_2020,Male
S000211,2020,8,8D_2020,Male
S000212,2020,8,8D_2020,Male
S000213,2020,8,8D_2020,Male
S000214,2020,8,8D_2020,Male
S000215,2020,8,8D_2020,Male
S000216,2020,8,8D_2020,Male
S000217,2020,8,8D_2020,Female
S000218,2020,8,8D_2020,Male
S000219,2020,8,8D_2020,Female
S000220,2020,8,8D_2020,Male
S000221,2020,8,8D_2020,Male
S000222,2020,8,8D_2020,Male
S000223,2020,8,8D_2020,Female
S000224,2020,8,8D_2020,Female
S000225,2020,8,8D_2020,Female
S000226,2020,8,8E_2020,Female
S000227,2020,8,8E_2020,Male
S000228,2020,8,8E_2020,Female
S000229,2020,8,8E_2020,Male
S000230,2020,8,8E_2020,Male
S000231,2020,8,8E_2020,Female
S000232,2020,8,8E_2020,Female
S000233,2020,8,8E_2020,Female
S000234,2020,8,8E_2020,Female
S000235,2020,8,8E_2020,Female
S000236,2020,8,8E_2020,Female
S000237,2020,8,8E_2020,Female
S000238,2020,8,8E_2020,Female
S000239,2020,8,8E_2020,Male
S000240,2020,8,8E_2020,Female
S000241,2020,8,8E_2020,Female
S000242,2020,8,8E_2020,Male
S000243,2020,8,8E_2020,Female
S000244,2020,8,8E_2020,Male
S000245,2020,8,8E_2020,Male
S000246,2020,8,8E_2020,Female
S000247,2020,8,8E_2020,Male
S000248,2020,8,8E_2020,Male
S000249,2020,8,8E_2020,Male
S000250,2020,8,8E_2020,Male
S000251,2020,9,9A_2020,Female
S000252,2020,9,9A_2020,Male
S000253,2020,9,9A_2020,Female
S000254,2020,9,9A_2020,Male
S000255,2020,9,9A_2020,Male
S000256,2020,9,9A_2020,Male
S000257,2020,9,9A_2020,Male
S000258,2020,9,9A_2020,Female
S000259,2020,9,9A_2020,Female
S000260,2020,9,9A_2020,Male
S000261,2020,9,9A_2020,Male
S000262,2020,9,9A_2020,Female
S000263,2020,9,9A_2020,Male
S000264,2020,9,9A_2020,Male
