academic_year,term,start_date,end_date
2019–2020,Autumn,2019-09-01,2019-12-15
2019–2020,Spring,2020-01-10,2020-03-31
2019–2020,Summer,2020-04-20,2020-07-15
2020–2021,Autumn,2020-09-01,2020-12-15
2020–2021,Spring,2021-01-10,2021-03-31
2020–2021,Summer,2021-04-20,2021-07-15
2021–2022,Autumn,2021-09-01,2021-12-15
2021–2022,Spring,2022-01-10,2022-03-31
2021–2022,Summer,2022-04-20,2022-07-15
2022–2023,Autumn,2022-09-01,2022-12-15
2022–2023,Spring,2023-01-10,2023-03-31
2022–2023,Summer,2023-04-20,2023-07-15
2023–2024,Autumn,2023-09-01,2023-12-15
2023–2024,Spring,2024-01-10,2024-03-31
2023–2024,Summer,2024-04-20,2024-07-15
2024–2025,Autumn,2024-09-01,2024-12-15
2024–2025,Spring,2025-01-10,2025-03-31
2024–2025,Summer,2025-04-20,2025-07-15
