student_id,academic_year,cohort,start_cohort,sub_cohort,status,week_id,week_of_year,week_start,who5_total,delta_1w,rolling_mean_4w,persist_low,total_engagement_score,logins,journal_entries,goals_set,no_engagement_2w,dynamic_flag_count,static_flag_count,total_flag_count
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W01,1,2019-09-02,36,,36.0,True,24.41242896920937,1,1,3,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W02,2,2019-09-09,48,12.0,42.0,True,50.87601884940976,2,3,6,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W03,3,2019-09-16,48,0.0,44.0,True,66.17287936649986,4,3,9,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W04,4,2019-09-23,40,-8.0,43.0,True,53.85478518665358,3,2,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W05,5,2019-09-30,56,16.0,48.0,True,99.9999984627854,5,4,10,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W06,6,2019-10-07,32,-24.0,44.0,True,57.8625971160234,2,2,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W07,7,2019-10-14,40,8.0,42.0,True,22.470926975099623,1,1,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W08,8,2019-10-21,40,0.0,42.0,True,16.592303482588942,1,0,2,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W09,9,2019-10-28,64,24.0,44.0,True,58.316556723642094,2,3,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W10,10,2019-11-04,28,-36.0,43.0,True,43.393971617032186,2,3,6,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W11,11,2019-11-11,24,-4.0,39.0,True,54.387157420466295,2,2,6,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W12,12,2019-11-18,64,40.0,45.0,True,52.3663263047783,2,3,6,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W13,13,2019-11-25,32,-32.0,37.0,True,42.84254000912156,2,2,7,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W14,14,2019-12-02,68,36.0,47.0,True,46.904516242739675,3,2,6,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W15,15,2019-12-09,32,-36.0,49.0,True,41.36453852028535,3,2,7,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W16,16,2019-12-16,36,4.0,42.0,True,29.321939984125386,1,1,3,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W17,17,2019-12-23,68,32.0,51.0,True,60.723319334454466,4,3,8,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W18,18,2019-12-30,16,-52.0,38.0,True,0.0,1,0,1,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W19,19,2020-01-06,52,36.0,43.0,True,57.5986710326706,2,3,7,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W20,20,2020-01-13,36,-16.0,43.0,True,18.170284005389753,0,0,2,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W21,21,2020-01-20,28,-8.0,33.0,True,36.38837955684264,2,1,4,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W22,22,2020-01-27,28,0.0,36.0,True,59.804208384248774,2,2,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W23,23,2020-02-03,44,16.0,34.0,True,51.93441792326767,3,3,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W24,24,2020-02-10,64,20.0,41.0,True,39.112808946083184,1,2,3,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W25,25,2020-02-17,80,16.0,54.0,True,72.95952044317032,3,3,9,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W26,26,2020-02-24,48,-32.0,59.0,True,78.7542908760575,4,4,8,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W27,27,2020-03-02,44,-4.0,59.0,True,24.5169833376055,1,2,4,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W28,28,2020-03-09,28,-16.0,50.0,True,29.869202145456086,1,1,3,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W29,29,2020-03-16,36,8.0,39.0,True,28.062345632738072,2,2,3,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W30,30,2020-03-23,48,12.0,39.0,True,25.719956254466446,1,1,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W31,31,2020-03-30,52,4.0,41.0,True,65.76862640709031,3,3,8,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W32,32,2020-04-06,52,0.0,47.0,True,25.185584387387042,2,1,3,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W33,33,2020-04-13,36,-16.0,47.0,True,20.87012664788267,2,1,4,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W34,34,2020-04-20,64,28.0,51.0,True,92.05930041096856,4,4,9,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W35,35,2020-04-27,60,-4.0,53.0,True,54.992797337389234,2,2,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W36,36,2020-05-04,52,-8.0,53.0,True,56.065769940384065,2,2,7,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W37,37,2020-05-11,44,-8.0,55.0,True,45.75505007300763,2,2,7,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W38,38,2020-05-18,32,-12.0,47.0,True,4.706502417020463,0,0,2,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2019-2020,7,7,A,active,2019-2020-W39,39,2020-05-25,48,16.0,44.0,True,63.750816855828674,3,3,7,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W01,1,2020-09-07,80,,80.0,False,31.68735981328139,1,2,4,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W02,2,2020-09-14,96,16.0,88.0,False,62.122841227587365,3,4,8,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W03,3,2020-09-21,84,-12.0,86.66666666666667,False,54.67079797347031,2,3,7,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W04,4,2020-09-28,88,4.0,87.0,False,43.84257314252701,2,2,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W05,5,2020-10-05,68,-20.0,84.0,False,24.421626197185077,2,1,4,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W06,6,2020-10-12,68,0.0,77.0,False,29.241841294931415,1,1,4,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W07,7,2020-10-19,72,4.0,74.0,False,32.19601872381236,1,2,5,False,1.0,0.0,1.0
2af83920-568b-48fc-8d93-1bd1b1d54f4a,2020-2021,8,7,A,active,2020-2021-W08,8,2020-10-26,64,-8.0,68.0,False,17.025660410228706,0,0,2,False,1.0,0.0,1.0
