student_id,year_x,grade,class,gender,term_name,year_y,term,start_date,end_date,WHO5_Score,TimeOnPlatform,LoginsPerWeek,TaskCompletionRate,EngagementScore
1,2020,7,7A,Male,Autumn 2020,2020,Autumn,2020-09-01,2020-12-18,13.6,40.2,3.0,0.7,46.2
1,2020,7,7A,Male,Spring 2020,2020,Spring,2020-01-05,2020-03-29,8.8,29.7,7.0,0.47,47.1
1,2020,7,7A,Male,Summer 2020,2020,Summer,2020-04-15,2020-07-20,24.6,25.1,5.0,0.47,39.1
1,2020,7,7A,Male,Autumn 2021,2021,Autumn,2021-09-01,2021-12-18,10.8,34.4,7.0,0.69,55.6
1,2020,7,7A,Male,Spring 2021,2021,Spring,2021-01-05,2021-03-29,14.5,61.4,7.0,0.45,59.1
1,2020,7,7A,Male,Summer 2021,2021,Summer,2021-04-15,2021-07-20,25.0,48.0,6.0,0.91,64.4
1,2020,7,7A,Male,Autumn 2022,2022,Autumn,2022-09-01,2022-12-18,17.3,79.2,5.0,0.99,76.5
1,2020,7,7A,Male,Spring 2022,2022,Spring,2022-01-05,2022-03-29,20.2,33.5,2.0,0.45,33.0
1,2020,7,7A,Male,Summer 2022,2022,Summer,2022-04-15,2022-07-20,15.5,33.3,1.0,0.83,41.2
1,2020,7,7A,Male,Autumn 2023,2023,Autumn,2023-09-01,2023-12-18,22.2,76.4,3.0,0.89,66.2
1,2020,7,7A,Male,Spring 2023,2023,Spring,2023-01-05,2023-03-29,21.1,61.4,4.0,0.8,60.6
1,2020,7,7A,Male,Summer 2023,2023,Summer,2023-04-15,2023-07-20,14.2,20.9,7.0,0.78,52.8
1,2020,7,7A,Male,Autumn 2024,2024,Autumn,2024-09-01,2024-12-18,19.7,43.3,4.0,0.42,42.0
1,2020,7,7A,Male,Spring 2025,2025,Spring,2025-01-05,2025-03-29,20.5,24.4,3.0,0.88,45.1
1,2020,7,7A,Male,Summer 2025,2025,Summer,2025-04-15,2025-07-20,18.8,49.9,1.0,0.58,40.2
2,2020,7,7A,Female,Autumn 2020,2020,Autumn,2020-09-01,2020-12-18,11.1,31.2,5.0,0.46,41.4
2,2020,7,7A,Female,Spring 2020,2020,Spring,2020-01-05,2020-03-29,8.0,21.2,7.0,0.46,43.3
