student_id,year,grade,class,gender
1,2020,7,7A,Male
2,2020,7,7A,Female
3,2020,7,7A,Male
4,2020,7,7A,Male
5,2020,7,7A,Male
6,2020,7,7A,Female
7,2020,7,7A,Male
8,2020,7,7A,Male
9,2020,7,7A,Male
10,2020,7,7A,Female
11,2020,7,7A,Male
12,2020,7,7A,Male
13,2020,7,7A,Male
14,2020,7,7A,Male
15,2020,7,7A,Female
16,2020,7,7A,Male
17,2020,7,7A,Female
18,2020,7,7A,Female
19,2020,7,7A,Female
20,2020,7,7A,Male
21,2020,7,7A,Female
22,2020,7,7A,Male
23,2020,7,7A,Female
24,2020,7,7A,Female
25,2020,7,7A,Female
26,2020,7,7B,Female
27,2020,7,7B,Female
28,2020,7,7B,Female
29,2020,7,7B,Female
30,2020,7,7B,Female
31,2020,7,7B,Male
32,2020,7,7B,Male
33,2020,7,7B,Female
34,2020,7,7B,Female
35,2020,7,7B,Female
36,2020,7,7B,Male
37,2020,7,7B,Female
38,2020,7,7B,Male
39,2020,7,7B,Male
40,2020,7,7B,Male
41,2020,7,7B,Male
42,2020,7,7B,Male
43,2020,7,7B,Female
44,2020,7,7B,Female
45,2020,7,7B,Female
46,2020,7,7B,Female
47,2020,7,7B,Female
48,2020,7,7B,Male
49,2020,7,7B,Female
50,2020,7,7B,Female
51,2020,7,7C,Male
52,2020,7,7C,Female
53,2020,7,7C,Male
54,2020,7,7C,Female
55,2020,7,7C,Male
56,2020,7,7C,Female
57,2020,7,7C,Female
58,2020,7,7C,Male
59,2020,7,7C,Male
60,2020,7,7C,Male
61,2020,7,7C,Male
62,2020,7,7C,Male
63,2020,7,7C,Male
64,2020,7,7C,Male
65,2020,7,7C,Male
66,2020,7,7C,Female
67,2020,7,7C,Female
68,2020,7,7C,Male
69,2020,7,7C,Female
70,2020,7,7C,Female
71,2020,7,7C,Female
72,2020,7,7C,Female
73,2020,7,7C,Male
74,2020,7,7C,Female
75,2020,7,7C,Male
76,2020,7,7D,Female
77,2020,7,7D,Female
78,2020,7,7D,Female
79,2020,7,7D,Male
80,2020,7,7D,Female
81,2020,7,7D,Male
82,2020,7,7D,Female
83,2020,7,7D,Male
84,2020,7,7D,Female
85,2020,7,7D,Male
86,2020,7,7D,Male
87,2020,7,7D,Female
88,2020,7,7D,Male
89,2020,7,7D,Female
90,2020,7,7D,Female
91,2020,7,7D,Female
92,2020,7,7D,Female
93,2020,7,7D,Female
94,2020,7,7D,Female
95,2020,7,7D,Female
96,2020,7,7D,Female
97,2020,7,7D,Female
98,2020,7,7D,Female
99,2020,7,7D,Female
100,2020,7,7D,Male
101,2020,7,7E,Male
102,2020,7,7E,Female
103,2020,7,7E,Female
104,2020,7,7E,Female
105,2020,7,7E,Female
106,2020,7,7E,Female
107,2020,7,7E,Female
108,2020,7,7E,Female
109,2020,7,7E,Female
110,2020,7,7E,Male
111,2020,7,7E,Female
112,2020,7,7E,Male
113,2020,7,7E,Female
114,2020,7,7E,Female
115,2020,7,7E,Male
116,2020,7,7E,Female
117,2020,7,7E,Male
118,2020,7,7E,Female
119,2020,7,7E,Female
120,2020,7,7E,Male
121,2020,7,7E,Female
122,2020,7,7E,Male
123,2020,7,7E,Female
124,2020,7,7E,Male
125,2020,7,7E,Male
126,2020,8,8A,Female
127,2020,8,8A,Female
128,2020,8,8A,Male
129,2020,8,8A,Female
130,2020,8,8A,Female
131,2020,8,8A,Female
132,2020,8,8A,Male
133,2020,8,8A,Male
134,2020,8,8A,Male
135,2020,8,8A,Male
136,2020,8,8A,Male
137,2020,8,8A,Male
138,2020,8,8A,Male
139,2020,8,8A,Male
140,2020,8,8A,Male
141,2020,8,8A,Female
142,2020,8,8A,Male
143,2020,8,8A,Female
144,2020,8,8A,Female
145,2020,8,8A,Female
146,2020,8,8A,Male
147,2020,8,8A,Male
148,2020,8,8A,Male
149,2020,8,8A,Male
150,2020,8,8A,Female
151,2020,8,8B,Male
152,2020,8,8B,Male
153,2020,8,8B,Male
154,2020,8,8B,Male
155,2020,8,8B,Male
156,2020,8,8B,Female
157,2020,8,8B,Male
158,2020,8,8B,Female
159,2020,8,8B,Male
160,2020,8,8B,Female
161,2020,8,8B,Male
162,2020,8,8B,Male
163,2020,8,8B,Female
164,2020,8,8B,Female
165,2020,8,8B,Female
166,2020,8,8B,Male
167,2020,8,8B,Female
168,2020,8,8B,Male
169,2020,8,8B,Male
170,2020,8,8B,Female
171,2020,8,8B,Female
172,2020,8,8B,Male
173,2020,8,8B,Male
174,2020,8,8B,Female
175,2020,8,8B,Female
176,2020,8,8C,Female
177,2020,8,8C,Male
178,2020,8,8C,Male
179,2020,8,8C,Male
180,2020,8,8C,Male
181,2020,8,8C,Male
182,2020,8,8C,Male
183,2020,8,8C,Female
184,2020,8,8C,Male
185,2020,8,8C,Male
186,2020,8,8C,Male
187,2020,8,8C,Female
188,2020,8,8C,Male
189,2020,8,8C,Male
190,2020,8,8C,Female
191,2020,8,8C,Male
192,2020,8,8C,Male
193,2020,8,8C,Male
194,2020,8,8C,Male
195,2020,8,8C,Male
196,2020,8,8C,Female
197,2020,8,8C,Female
198,2020,8,8C,Female
199,2020,8,8C,Male
200,2020,8,8C,Male
201,2020,8,8D,Male
202,2020,8,8D,Female
203,2020,8,8D,Male
204,2020,8,8D,Male
205,2020,8,8D,Female
206,2020,8,8D,Male
207,2020,8,8D,Female
208,2020,8,8D,Female
209,2020,8,8D,Female
210,2020,8,8D,Male
211,2020,8,8D,Male
212,2020,8,8D,Male
213,2020,8,8D,Male
214,2020,8,8D,Male
215,2020,8,8D,Male
216,2020,8,8D,Male
217,2020,8,8D,Female
218,2020,8,8D,Male
219,2020,8,8D,Female
220,2020,8,8D,Male
221,2020,8,8D,Male
222,2020,8,8D,Male
223,2020,8,8D,Female
224,2020,8,8D,Female
225,2020,8,8D,Female
226,2020,8,8E,Female
227,2020,8,8E,Male
228,2020,8,8E,Female
229,2020,8,8E,Male
230,2020,8,8E,Male
231,2020,8,8E,Female
232,2020,8,8E,Female
233,2020,8,8E,Female
234,2020,8,8E,Female
235,2020,8,8E,Female
236,2020,8,8E,Female
237,2020,8,8E,Female
238,2020,8,8E,Female
239,2020,8,8E,Male
240,2020,8,8E,Female
241,2020,8,8E,Female
242,2020,8,8E,Male
243,2020,8,8E,Female
244,2020,8,8E,Male
245,2020,8,8E,Male
246,2020,8,8E,Female
247,2020,8,8E,Male
248,2020,8,8E,Male
249,2020,8,8E,Male
250,2020,8,8E,Male
251,2020,9,9A,Female
252,2020,9,9A,Male
253,2020,9,9A,Female
254,2020,9,9A,Male
255,2020,9,9A,Male
256,2020,9,9A,Male
257,2020,9,9A,Male
258,2020,9,9A,Female
259,2020,9,9A,Female
260,2020,9,9A,Male
261,2020,9,9A,Male
262,2020,9,9A,Female
263,2020,9,9A,Male
264,2020,9,9A,Male
265,2020,9,9A,Male
266,2020,9,9A,Female
267,2020,9,9A,Female
268,2020,9,9A,Female
269,2020,9,9A,Male
270,2020,9,9A,Male
271,2020,9,9A,Female
272,2020,9,9A,Female
273,2020,9,9A,Female
274,2020,9,9A,Female
275,2020,9,9A,Male
276,2020,9,9B,Female
277,2020,9,9B,Male
278,2020,9,9B,Female
279,2020,9,9B,Male
280,2020,9,9B,Female
281,2020,9,9B,Female
282,2020,9,9B,Female
283,2020,9,9B,Female
284,2020,9,9B,Male
285,2020,9,9B,Female
286,2020,9,9B,Male
287,2020,9,9B,Male
288,2020,9,9B,Male
289,2020,9,9B,Male
290,2020,9,9B,Female
291,2020,9,9B,Male
292,2020,9,9B,Male
293,2020,9,9B,Male
294,2020,9,9B,Female
295,2020,9,9B,Female
296,2020,9,9B,Female
297,2020,9,9B,Female
298,2020,9,9B,Male
299,2020,9,9B,Male
300,2020,9,9B,Female
301,2020,9,9C,Male
302,2020,9,9C,Male
303,2020,9,9C,Male
304,2020,9,9C,Female
305,2020,9,9C,Female
306,2020,9,9C,Male
307,2020,9,9C,Female
308,2020,9,9C,Female
309,2020,9,9C,Female
310,2020,9,9C,Female
311,2020,9,9C,Female
312,2020,9,9C,Male
313,2020,9,9C,Female
314,2020,9,9C,Male
315,2020,9,9C,Male
316,2020,9,9C,Female
317,2020,9,9C,Male
318,2020,9,9C,Male
319,2020,9,9C,Male
320,2020,9,9C,Female
321,2020,9,9C,Female
322,2020,9,9C,Male
323,2020,9,9C,Female
324,2020,9,9C,Female
325,2020,9,9C,Female
326,2020,9,9D,Female
327,2020,9,9D,Male
328,2020,9,9D,Male
329,2020,9,9D,Female
330,2020,9,9D,Female
331,2020,9,9D,Male
332,2020,9,9D,Male
