term_name,year,term,start_date,end_date
Autumn 2020,2020,Autumn,2020-09-01,2020-12-18
Spring 2020,2020,Spring,2020-01-05,2020-03-29
Summer 2020,2020,Summer,2020-04-15,2020-07-20
Autumn 2021,2021,Autumn,2021-09-01,2021-12-18
Spring 2021,2021,Spring,2021-01-05,2021-03-29
Summer 2021,2021,Summer,2021-04-15,2021-07-20
Autumn 2022,2022,Autumn,2022-09-01,2022-12-18
Spring 2022,2022,Spring,2022-01-05,2022-03-29
Summer 2022,2022,Summer,2022-04-15,2022-07-20
Autumn 2023,2023,Autumn,2023-09-01,2023-12-18
Spring 2023,2023,Spring,2023-01-05,2023-03-29
Summer 2023,2023,Summer,2023-04-15,2023-07-20
Autumn 2024,2024,Autumn,2024-09-01,2024-12-18
Spring 2025,2025,Spring,2025-01-05,2025-03-29
Summer 2025,2025,Summer,2025-04-15,2025-07-20
