week_id,academic_year,week_of_year,date,day_of_week
2019-2020-W01,2019-2020,1,2019-09-02,Monday
2019-2020-W01,2019-2020,1,2019-09-03,Tuesday
2019-2020-W01,2019-2020,1,2019-09-04,Wednesday
2019-2020-W01,2019-2020,1,2019-09-05,Thursday
2019-2020-W01,2019-2020,1,2019-09-06,Friday
2019-2020-W02,2019-2020,2,2019-09-09,Monday
2019-2020-W02,2019-2020,2,2019-09-10,Tuesday
2019-2020-W02,2019-2020,2,2019-09-11,Wednesday
2019-2020-W02,2019-2020,2,2019-09-12,Thursday
2019-2020-W02,2019-2020,2,2019-09-13,Friday
2019-2020-W03,2019-2020,3,2019-09-16,Monday
2019-2020-W03,2019-2020,3,2019-09-17,Tuesday
2019-2020-W03,2019-2020,3,2019-09-18,Wednesday
2019-2020-W03,2019-2020,3,2019-09-19,Thursday
2019-2020-W03,2019-2020,3,2019-09-20,Friday
2019-2020-W04,2019-2020,4,2019-09-23,Monday
2019-2020-W04,2019-2020,4,2019-09-24,Tuesday
2019-2020-W04,2019-2020,4,2019-09-25,Wednesday
2019-2020-W04,2019-2020,4,2019-09-26,Thursday
2019-2020-W04,2019-2020,4,2019-09-27,Friday
2019-2020-W05,2019-2020,5,2019-09-30,Monday
2019-2020-W05,2019-2020,5,2019-10-01,Tuesday
2019-2020-W05,2019-2020,5,2019-10-02,Wednesday
2019-2020-W05,2019-2020,5,2019-10-03,Thursday
2019-2020-W05,2019-2020,5,2019-10-04,Friday
2019-2020-W06,2019-2020,6,2019-10-07,Monday
2019-2020-W06,2019-2020,6,2019-10-08,Tuesday
2019-2020-W06,2019-2020,6,2019-10-09,Wednesday
2019-2020-W06,2019-2020,6,2019-10-10,Thursday
2019-2020-W06,2019-2020,6,2019-10-11,Friday
2019-2020-W07,2019-2020,7,2019-10-14,Monday
2019-2020-W07,2019-2020,7,2019-10-15,Tuesday
2019-2020-W07,2019-2020,7,2019-10-16,Wednesday
2019-2020-W07,2019-2020,7,2019-10-17,Thursday
2019-2020-W07,2019-2020,7,2019-10-18,Friday
2019-2020-W08,2019-2020,8,2019-10-21,Monday
2019-2020-W08,2019-2020,8,2019-10-22,Tuesday
2019-2020-W08,2019-2020,8,2019-10-23,Wednesday
2019-2020-W08,2019-2020,8,2019-10-24,Thursday
2019-2020-W08,2019-2020,8,2019-10-25,Friday
2019-2020-W09,2019-2020,9,2019-10-28,Monday
2019-2020-W09,2019-2020,9,2019-10-29,Tuesday
2019-2020-W09,2019-2020,9,2019-10-30,Wednesday
2019-2020-W09,2019-2020,9,2019-10-31,Thursday
2019-2020-W09,2019-2020,9,2019-11-01,Friday
2019-2020-W10,2019-2020,10,2019-11-04,Monday
2019-2020-W10,2019-2020,10,2019-11-05,Tuesday
2019-2020-W10,2019-2020,10,2019-11-06,Wednesday
2019-2020-W10,2019-2020,10,2019-11-07,Thursday
2019-2020-W10,2019-2020,10,2019-11-08,Friday
2019-2020-W11,2019-2020,11,2019-11-11,Monday
2019-2020-W11,2019-2020,11,2019-11-12,Tuesday
2019-2020-W11,2019-2020,11,2019-11-13,Wednesday
2019-2020-W11,2019-2020,11,2019-11-14,Thursday
2019-2020-W11,2019-2020,11,2019-11-15,Friday
2019-2020-W12,2019-2020,12,2019-11-18,Monday
2019-2020-W12,2019-2020,12,2019-11-19,Tuesday
2019-2020-W12,2019-2020,12,2019-11-20,Wednesday
2019-2020-W12,2019-2020,12,2019-11-21,Thursday
2019-2020-W12,2019-2020,12,2019-11-22,Friday
2019-2020-W13,2019-2020,13,2019-11-25,Monday
2019-2020-W13,2019-2020,13,2019-11-26,Tuesday
2019-2020-W13,2019-2020,13,2019-11-27,Wednesday
2019-2020-W13,2019-2020,13,2019-11-28,Thursday
2019-2020-W13,2019-2020,13,2019-11-29,Friday
2019-2020-W14,2019-2020,14,2019-12-02,Monday
2019-2020-W14,2019-2020,14,2019-12-03,Tuesday
2019-2020-W14,2019-2020,14,2019-12-04,Wednesday
2019-2020-W14,2019-2020,14,2019-12-05,Thursday
2019-2020-W14,2019-2020,14,2019-12-06,Friday
2019-2020-W15,2019-2020,15,2019-12-09,Monday
2019-2020-W15,2019-2020,15,2019-12-10,Tuesday
2019-2020-W15,2019-2020,15,2019-12-11,Wednesday
2019-2020-W15,2019-2020,15,2019-12-12,Thursday
2019-2020-W15,2019-2020,15,2019-12-13,Friday
2019-2020-W16,2019-2020,16,2019-12-16,Monday
2019-2020-W16,2019-2020,16,2019-12-17,Tuesday
2019-2020-W16,2019-2020,16,2019-12-18,Wednesday
2019-2020-W16,2019-2020,16,2019-12-19,Thursday
2019-2020-W16,2019-2020,16,2019-12-20,Friday
2019-2020-W17,2019-2020,17,2019-12-23,Monday
2019-2020-W17,2019-2020,17,2019-12-24,Tuesday
2019-2020-W17,2019-2020,17,2019-12-25,Wednesday
2019-2020-W17,2019-2020,17,2019-12-26,Thursday
2019-2020-W17,2019-2020,17,2019-12-27,Friday
2019-2020-W18,2019-2020,18,2019-12-30,Monday
2019-2020-W18,2019-2020,18,2019-12-31,Tuesday
2019-2020-W18,2019-2020,18,2020-01-01,Wednesday
2019-2020-W18,2019-2020,18,2020-01-02,Thursday
2019-2020-W18,2019-2020,18,2020-01-03,Friday
2019-2020-W19,2019-2020,19,2020-01-06,Monday
2019-2020-W19,2019-2020,19,2020-01-07,Tuesday
2019-2020-W19,2019-2020,19,2020-01-08,Wednesday
2019-2020-W19,2019-2020,19,2020-01-09,Thursday
2019-2020-W19,2019-2020,19,2020-01-10,Friday
2019-2020-W20,2019-2020,20,2020-01-13,Monday
2019-2020-W20,2019-2020,20,2020-01-14,Tuesday
2019-2020-W20,2019-2020,20,2020-01-15,Wednesday
2019-2020-W20,2019-2020,20,2020-01-16,Thursday
2019-2020-W20,2019-2020,20,2020-01-17,Friday
2019-2020-W21,2019-2020,21,2020-01-20,Monday
2019-2020-W21,2019-2020,21,2020-01-21,Tuesday
2019-2020-W21,2019-2020,21,2020-01-22,Wednesday
2019-2020-W21,2019-2020,21,2020-01-23,Thursday
2019-2020-W21,2019-2020,21,2020-01-24,Friday
2019-2020-W22,2019-2020,22,2020-01-27,Monday
2019-2020-W22,2019-2020,22,2020-01-28,Tuesday
2019-2020-W22,2019-2020,22,2020-01-29,Wednesday
2019-2020-W22,2019-2020,22,2020-01-30,Thursday
2019-2020-W22,2019-2020,22,2020-01-31,Friday
2019-2020-W23,2019-2020,23,2020-02-03,Monday
2019-2020-W23,2019-2020,23,2020-02-04,Tuesday
2019-2020-W23,2019-2020,23,2020-02-05,Wednesday
2019-2020-W23,2019-2020,23,2020-02-06,Thursday
2019-2020-W23,2019-2020,23,2020-02-07,Friday
2019-2020-W24,2019-2020,24,2020-02-10,Monday
2019-2020-W24,2019-2020,24,2020-02-11,Tuesday
2019-2020-W24,2019-2020,24,2020-02-12,Wednesday
2019-2020-W24,2019-2020,24,2020-02-13,Thursday
2019-2020-W24,2019-2020,24,2020-02-14,Friday
2019-2020-W25,2019-2020,25,2020-02-17,Monday
2019-2020-W25,2019-2020,25,2020-02-18,Tuesday
2019-2020-W25,2019-2020,25,2020-02-19,Wednesday
2019-2020-W25,2019-2020,25,2020-02-20,Thursday
2019-2020-W25,2019-2020,25,2020-02-21,Friday
2019-2020-W26,2019-2020,26,2020-02-24,Monday
2019-2020-W26,2019-2020,26,2020-02-25,Tuesday
2019-2020-W26,2019-2020,26,2020-02-26,Wednesday
2019-2020-W26,2019-2020,26,2020-02-27,Thursday
2019-2020-W26,2019-2020,26,2020-02-28,Friday
2019-2020-W27,2019-2020,27,2020-03-02,Monday
2019-2020-W27,2019-2020,27,2020-03-03,Tuesday
2019-2020-W27,2019-2020,27,2020-03-04,Wednesday
2019-2020-W27,2019-2020,27,2020-03-05,Thursday
2019-2020-W27,2019-2020,27,2020-03-06,Friday
2019-2020-W28,2019-2020,28,2020-03-09,Monday
2019-2020-W28,2019-2020,28,2020-03-10,Tuesday
2019-2020-W28,2019-2020,28,2020-03-11,Wednesday
2019-2020-W28,2019-2020,28,2020-03-12,Thursday
2019-2020-W28,2019-2020,28,2020-03-13,Friday
2019-2020-W29,2019-2020,29,2020-03-16,Monday
2019-2020-W29,2019-2020,29,2020-03-17,Tuesday
2019-2020-W29,2019-2020,29,2020-03-18,Wednesday
2019-2020-W29,2019-2020,29,2020-03-19,Thursday
2019-2020-W29,2019-2020,29,2020-03-20,Friday
2019-2020-W30,2019-2020,30,2020-03-23,Monday
2019-2020-W30,2019-2020,30,2020-03-24,Tuesday
2019-2020-W30,2019-2020,30,2020-03-25,Wednesday
2019-2020-W30,2019-2020,30,2020-03-26,Thursday
2019-2020-W30,2019-2020,30,2020-03-27,Friday
2019-2020-W31,2019-2020,31,2020-03-30,Monday
2019-2020-W31,2019-2020,31,2020-03-31,Tuesday
2019-2020-W31,2019-2020,31,2020-04-01,Wednesday
2019-2020-W31,2019-2020,31,2020-04-02,Thursday
2019-2020-W31,2019-2020,31,2020-04-03,Friday
2019-2020-W32,2019-2020,32,2020-04-06,Monday
2019-2020-W32,2019-2020,32,2020-04-07,Tuesday
2019-2020-W32,2019-2020,32,2020-04-08,Wednesday
2019-2020-W32,2019-2020,32,2020-04-09,Thursday
2019-2020-W32,2019-2020,32,2020-04-10,Friday
2019-2020-W33,2019-2020,33,2020-04-13,Monday
2019-2020-W33,2019-2020,33,2020-04-14,Tuesday
2019-2020-W33,2019-2020,33,2020-04-15,Wednesday
2019-2020-W33,2019-2020,33,2020-04-16,Thursday
2019-2020-W33,2019-2020,33,2020-04-17,Friday
2019-2020-W34,2019-2020,34,2020-04-20,Monday
2019-2020-W34,2019-2020,34,2020-04-21,Tuesday
2019-2020-W34,2019-2020,34,2020-04-22,Wednesday
2019-2020-W34,2019-2020,34,2020-04-23,Thursday
2019-2020-W34,2019-2020,34,2020-04-24,Friday
2019-2020-W35,2019-2020,35,2020-04-27,Monday
2019-2020-W35,2019-2020,35,2020-04-28,Tuesday
2019-2020-W35,2019-2020,35,2020-04-29,Wednesday
2019-2020-W35,2019-2020,35,2020-04-30,Thursday
2019-2020-W35,2019-2020,35,2020-05-01,Friday
2019-2020-W36,2019-2020,36,2020-05-04,Monday
2019-2020-W36,2019-2020,36,2020-05-05,Tuesday
2019-2020-W36,2019-2020,36,2020-05-06,Wednesday
2019-2020-W36,2019-2020,36,2020-05-07,Thursday
2019-2020-W36,2019-2020,36,2020-05-08,Friday
2019-2020-W37,2019-2020,37,2020-05-11,Monday
2019-2020-W37,2019-2020,37,2020-05-12,Tuesday
2019-2020-W37,2019-2020,37,2020-05-13,Wednesday
2019-2020-W37,2019-2020,37,2020-05-14,Thursday
2019-2020-W37,2019-2020,37,2020-05-15,Friday
2019-2020-W38,2019-2020,38,2020-05-18,Monday
2019-2020-W38,2019-2020,38,2020-05-19,Tuesday
2019-2020-W38,2019-2020,38,2020-05-20,Wednesday
2019-2020-W38,2019-2020,38,2020-05-21,Thursday
2019-2020-W38,2019-2020,38,2020-05-22,Friday
2019-2020-W39,2019-2020,39,2020-05-25,Monday
2019-2020-W39,2019-2020,39,2020-05-26,Tuesday
2019-2020-W39,2019-2020,39,2020-05-27,Wednesday
2019-2020-W39,2019-2020,39,2020-05-28,Thursday
2019-2020-W39,2019-2020,39,2020-05-29,Friday
2020-2021-W01,2020-2021,1,2020-09-07,Monday
2020-2021-W01,2020-2021,1,2020-09-08,Tuesday
2020-2021-W01,2020-2021,1,2020-09-09,Wednesday
2020-2021-W01,2020-2021,1,2020-09-10,Thursday
2020-2021-W01,2020-2021,1,2020-09-11,Friday
2020-2021-W02,2020-2021,2,2020-09-14,Monday
2020-2021-W02,2020-2021,2,2020-09-15,Tuesday
2020-2021-W02,2020-2021,2,2020-09-16,Wednesday
2020-2021-W02,2020-2021,2,2020-09-17,Thursday
2020-2021-W02,2020-2021,2,2020-09-18,Friday
2020-2021-W03,2020-2021,3,2020-09-21,Monday
2020-2021-W03,2020-2021,3,2020-09-22,Tuesday
2020-2021-W03,2020-2021,3,2020-09-23,Wednesday
2020-2021-W03,2020-2021,3,2020-09-24,Thursday
2020-2021-W03,2020-2021,3,2020-09-25,Friday
2020-2021-W04,2020-2021,4,2020-09-28,Monday
2020-2021-W04,2020-2021,4,2020-09-29,Tuesday
2020-2021-W04,2020-2021,4,2020-09-30,Wednesday
2020-2021-W04,2020-2021,4,2020-10-01,Thursday
2020-2021-W04,2020-2021,4,2020-10-02,Friday
2020-2021-W05,2020-2021,5,2020-10-05,Monday
2020-2021-W05,2020-2021,5,2020-10-06,Tuesday
2020-2021-W05,2020-2021,5,2020-10-07,Wednesday
2020-2021-W05,2020-2021,5,2020-10-08,Thursday
2020-2021-W05,2020-2021,5,2020-10-09,Friday
2020-2021-W06,2020-2021,6,2020-10-12,Monday
2020-2021-W06,2020-2021,6,2020-10-13,Tuesday
2020-2021-W06,2020-2021,6,2020-10-14,Wednesday
2020-2021-W06,2020-2021,6,2020-10-15,Thursday
2020-2021-W06,2020-2021,6,2020-10-16,Friday
2020-2021-W07,2020-2021,7,2020-10-19,Monday
2020-2021-W07,2020-2021,7,2020-10-20,Tuesday
2020-2021-W07,2020-2021,7,2020-10-21,Wednesday
2020-2021-W07,2020-2021,7,2020-10-22,Thursday
2020-2021-W07,2020-2021,7,2020-10-23,Friday
2020-2021-W08,2020-2021,8,2020-10-26,Monday
2020-2021-W08,2020-2021,8,2020-10-27,Tuesday
2020-2021-W08,2020-2021,8,2020-10-28,Wednesday
2020-2021-W08,2020-2021,8,2020-10-29,Thursday
2020-2021-W08,2020-2021,8,2020-10-30,Friday
2020-2021-W09,2020-2021,9,2020-11-02,Monday
2020-2021-W09,2020-2021,9,2020-11-03,Tuesday
2020-2021-W09,2020-2021,9,2020-11-04,Wednesday
2020-2021-W09,2020-2021,9,2020-11-05,Thursday
2020-2021-W09,2020-2021,9,2020-11-06,Friday
2020-2021-W10,2020-2021,10,2020-11-09,Monday
2020-2021-W10,2020-2021,10,2020-11-10,Tuesday
2020-2021-W10,2020-2021,10,2020-11-11,Wednesday
2020-2021-W10,2020-2021,10,2020-11-12,Thursday
2020-2021-W10,2020-2021,10,2020-11-13,Friday
2020-2021-W11,2020-2021,11,2020-11-16,Monday
2020-2021-W11,2020-2021,11,2020-11-17,Tuesday
2020-2021-W11,2020-2021,11,2020-11-18,Wednesday
2020-2021-W11,2020-2021,11,2020-11-19,Thursday
2020-2021-W11,2020-2021,11,2020-11-20,Friday
2020-2021-W12,2020-2021,12,2020-11-23,Monday
2020-2021-W12,2020-2021,12,2020-11-24,Tuesday
2020-2021-W12,2020-2021,12,2020-11-25,Wednesday
